"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",0,0,0,0,0,0.088697908993486,0,0,0,0,0,0,-0.00765192734565733,0,0,0,0,0,0,0,0,0,0,0.219592633092904,0,0,0,0,0,0,-0.107015105621171,0,0,0,0,-0.0688002365879676,0,0,-0.0771025350537163,0,-0.0111145372690695,-0.00555462121904827,-0.151403757332394,0,0.0102591728562734,0,0,0.0170289631699838,0,0,0,0,0,0,0,0.088530232260932,0.01236667589994,0,-0.00059099606569261,0,-0.117554664196093,0,0,0,0,0,0,0,-0.0393392733612662,0,0,0,0.0316355271592637,-0.030492195387573,0,0,0,0.159988957110034,-0.00684694753014996,0,0,0,-0.0845099925893719,0,-0.0864858163786359,0,-0.0442921895618694,0,0,0,-0.0789979060360528,0,0,0,0,0,0,0,0,0,0
"",0,0,-0.0119642197355556,0,0,0.113388744071346,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0238876944969941,0,-0.00411870943908467,0,0,0.0663883365145771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371274704041304,-0.0497825723023042,-0.0900717351028923,0.067404410569524,0,-0.0333737417401557,0,0,0,-0.0322788672989044,0,0,-0.0425947151641921,-0.0247157228998335,0,0,0,0,0,0,0,0,0,-0.0477299673822532,0,0,0,0,0,0,0,0,-0.170417516587854,0,-0.0312107333440673,0,0,-0.117015247572069,0,0,0,0,0,-0.0836369152194619,0,0,0.144956604773692,-0.12758017862596,0,0,0,0.219486708042486,0,0,0,0,0,0,0,0
"",0,-0.107940449697369,-0.077846659632267,-0.0326355542511276,0,0,0,0,0,-0.188248740326064,-0.00593655491284817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814936085476795,0.0541269452796769,0,0,0,0,0,0,0,-0.00748693236711343,0,0,0,0,0,-0.0204340656215376,-0.0979633940726639,0,0,0,-0.0621316551639444,0,0,0.0597850841801772,0,0,0,0,0,-0.0267634356765793,0,-0.0646596511377581,0,0,0,-0.0477850348750167,0,0,0,0,0,0,0,-0.0654408721446595,0,-0.0158130688898061,0,0,0,0.148586567559346,0,0,0,0.0384260380120199,0,0,0,0,0,0,-0.145841162984927,0,0,0,-0.0418107569168916,0,0,-0.30251384893145,0,-0.0798559970874694,0,0,-0.0900261594408976,-0.0112726879408553,0,0,0
"",0,-0.0579192795206765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504168768864729,0,0,0,-0.24572255562165,0.106034727706326,0.0790533886569648,-0.110458046934687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0288309801659591,0,0,0,0,0,0,-0.063569912741668,0,0,0.00738106535890261,-0.0753622415525945,0,0,0,0,0,-0.00774542744693361,0,0,0,0,-0.12865374862049,0,0,0,0,0,0,0,-0.0238197322955742,0,0,0,0,0,0,0,0,0,-0.0877929241978939,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242924624404006,-0.00861972644690622,0,0,0
"",0,0,0,0,0,-0.0438998482623524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0886115303416427,0,0,-0.0323772991542492,0.083355845270083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809295113057742,0,0,-0.23335572636335,0,0,0,-0.154164629245294,0,0,0,0,-0.00831438295404141,0,0,0,-0.177503933038908,0.0218573782305169,0,0,-0.0375597002415466,-0.0473407751643569,0,-0.00182141292756591,0,0,0,0.156443393510091,0,0,-0.029335597373484,0,0,0,-0.00520819891035146,0,0,0,-0.00112259409215577,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,-0.0199845661000619,0,0,-0.0873369487275344,0,0,0,0,0,0,0,0,0,0.0721418315069981,0,0,0,-0.0818551060406329,0,0,0,0,0,0,0,0,0,-0.0509727987099452,-0.0482964473445153,0,0,0,-0.0315519764860826,0,0,0,0.154791194594336,0,0,-0.0947018799410195,0,0,0,0,-0.101906435672153,-0.0396101611151763,0,-0.136380273036961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00394835881945234,0,-0.0108819044454358,0,0,0,0,0.0801709192688692,0,0,0,0,0,0,-0.0254406693500224
"",-2.95102777236903,-3.0035454301285,-2.85281585962869,-2.84593751391294,-2.82421564354448,-2.89953835583814,-2.66390741340827,-3.05456897162694,-2.89406795432923,-2.76795280022826,-2.79900993467754,-2.97525144158064,-2.83677569303898,-2.80149864464638,-2.74358028331973,-2.90290999201199,-2.89122357729248,-2.63620362701401,-2.79689967797542,-2.88081801379274,-2.66151047024307,-2.75431391903457,-2.79241663242674,-2.81980015431643,-2.65542805461524,-2.82007440152356,-2.76494026177439,-2.59689987284636,-2.75518734236603,-2.9658695590216,-2.85260461102847,-2.79294841755077,-2.89456375613784,-2.73575500022198,-2.64770692844812,-2.92432982978625,-2.7081676716294,-2.73775982500226,-2.79133076136343,-3.06564745225542,-2.91797858433725,-2.67432473178834,-2.60342399873839,-2.71373282459987,-2.62664689709099,-2.90311011709365,-2.80285095201607,-3.22122646733986,-2.84041929840857,-2.8408295392692,-2.67873815446104,-2.89411741756316,-2.61817525913893,-2.84435137064521,-2.71717508723119,-2.85550824645868,-2.88836325281796,-2.71170229151473,-2.71399906232353,-2.64201871709202,-2.75873151523491,-2.7231982812235,-2.57141997935336,-2.99034883350145,-2.80129703236274,-2.78825391044467,-2.95819117589753,-2.74557683312446,-2.93753162827268,-2.78602925542316,-2.96336031592139,-2.90194947358097,-2.86382651059665,-2.71355648392951,-2.68544967945003,-2.82623505218314,-2.85501292274586,-3.0758508590442,-2.89214138661021,-2.78774601070927,-2.87402697827224,-2.93524648150355,-2.77526840673362,-3.06835510125901,-2.80655243253626,-2.85405814768995,-2.86211481135634,-2.84446257784995,-2.73595275668215,-2.96700449367887,-2.88803606431668,-2.81793605420876,-2.84486687303681,-2.89795564290265,-2.76594256603186,-2.62926196679171,-2.83680963195073,-2.97174707712302,-2.82970617151224,-2.86211404448396,-2.642306424595
"",0,0,0,0,-0.0611399813556292,-0.041652318431388,0,0,0,0,0,0,-0.000250459564386369,0,0,0,0,0,0,0,-0.0199033068767038,0,0,0.0988801773431367,0,0,0,0,0,-0.0558714111228722,-0.00815937996974848,0,0,0,-0.109354558298241,0,0,0,0,-0.01194051617642,0,0,0,0,0,0,-0.0556308093075683,0,0,0,0,-0.0511134297204304,0,0,0,0.100417071374309,0.0700427845679653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0576594544408613,0,0,0,0,0,0,0,0,0,-0.176664327567366,0,0,0,-0.0568652538348379,0,0,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,0,0,0,-0.0404259155657908,0,0,0,0,0,0,-0.00775275596136232,0,-0.0368871158703935,0,0,0,0,-0.125983687003824,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155494798930854,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362368955049753,-0.0302383551629289,0,0.0827312117022491,0,0,0,-0.0555452284632489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01512387867363,-0.0315578807013986,0,0,0,0,0,0,-0.0123817377230899,-0.0298136967967676,0,0,0,0,0,0
"",0,0,0,0,0,-0.100824408663798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153376387603263,-0.0640684749678647,0,0,0,-0.134367471719966,0,0,0,0,0,0,0,0,0,0,-0.00750874819390223,0,-0.0319270982504786,0,0,0,0,0,0,0,0,0,-0.00215578252518966,0,0,0,0,0,0,-0.0145993246524955,0,-0.0471911487956785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0712456917136892,0,0,-0.0703121364814971,0,0,0,0.00488287359766364,-0.0400587365871889,0,0,0,0,0,0,-0.00268429735024252,0,0,-0.0617312409990785,0,0,-0.023836231980867,0,-0.0461577139453592,0
