"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",-2.42302505705641,-2.02539327468992,-2.33205817402424,-2.38838887107576,-2.08041379880879,-1.63336424510472,-2.21937527617081,-2.40931105007741,-2.16728130368502,-2.37804091009928,-1.94903922217093,-2.22450746484267,-1.72811872925768,-2.44446429792811,-2.22584377155784,-2.2197330586684,-2.07375033620114,-1.86972394807892,-2.06136960476484,-2.17406154244832,-2.14977032423462,-2.24403147379953,-2.53857964303235,-2.30173353296904,-2.41290063365208,-2.36350406388198,-1.91837657450167,-2.23664986415769,-2.12151479369344,-2.65742677968481,-2.2140549611502,-2.14715914625619,-2.21593156922943,-2.3531041311525,-2.04754153622062,-2.28812582592359,-2.08947522493591,-2.18955125029747,-2.26547088497386,-2.16834612191557,-1.83894635409706,-2.08970504149942,-2.13424479643304,-2.00803689097996,-1.97556619361838,-2.27018374089483,-2.10022596327546,-2.2240203185541,-2.14675504663981,-2.09852195939584,-2.40229460712072,-2.46815379430408,-2.58793088796695,-2.30427092326539,-2.48661120082203,-2.3120015358574,-2.71991835971192,-2.15318469955853,-2.46497105878179,-1.96604655234348,-1.85349192469625,-2.05423490037454,-2.13324866573689,-1.95788609046884,-2.24049201162816,-1.95718582213745,-2.31562467785735,-2.38277479166558,-2.30260934802473,-2.22627457566672,-2.43909326102585,-2.32689546571814,-1.9959355995039,-2.24522578812179,-2.49623701321541,-2.0541931877954,-2.05483210816392,-2.13470672416389,-2.20468703534553,-2.43942146217577,-2.20257635265678,-2.23746810179047,-2.33072622329815,-2.2860155996477,-1.94673274554506,-2.6045288920402,-2.27173689363643,-2.23014707866384,-2.14618220330684,-2.19092665042678,-2.2626315202749,-2.46050446579339,-2.3167396702365,-2.25484350108101,-2.40568843502031,-2.42528427287502,-1.97317051950714,-2.06771855949152,-2.07766759574917,-1.91343248639889,-2.3932083487502
"",0,-0.00870567956650607,-0.0130797917355668,0.157134084194831,0,0,0,0.0103469659165419,0,0,0,0,0,0.0435845845904561,0,0,-0.0914971273414378,0,0,0,-0.0807526508076438,0,-0.299274432233837,0,0,0,0,0.184465394967318,0,0,0,0,0,0,0,0,0,0,-0.0322839946019996,0,0,0,0,0,0,0,0,-0.244817943973444,0,-0.0190945215351068,0,0,0.0958591153397608,0,0.071729705739641,0,0,0.0369634863727514,0,0,0,0,0,0,-0.275067868218118,0,0,0,0,0,-0.0619220623472209,0,0,0,-0.106600363544859,0,0,0,0.149066166832569,0.0611794277854906,0.0985912036270322,0,0,0,0,0,-0.089321040033296,0,0,0,0,0.0307059983084015,0,0,0,0,0,0,-0.104872562296272,0,0
"",0,0.172812815101456,0,0,0,0,-0.0129171979663454,0,-0.0990423340404631,0,0,0.108112508741995,0,0,0,0,-0.0576192443146026,0,0,0,0,0,-0.148301143716892,0,0,0,0,0,0,0.0486377443631808,0,0,0,0.110788238225808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239713537417599,0,0,0,0,0,0,0,0,0,0.0437824644947389,0,0,0,0.0334938975119168,0,0,0,-0.0706739808986836,0,0,0,0,0,0,0,0,0,0,0,0,-0.135636815625255,0,0,0,0,0,-0.0587940114418511,0.0243973650861562,0,0,0,0,0,0,0.0815793659416373,0,-0.0100468799106103,0,0,0
"",0,0,0,0,0,0,0,-0.0539539955872576,0,0,0,0,0.0524142600868241,0,0,0,0,0,0,0,0,0,-0.405648454145456,0,0,0,0,-0.00579459151036084,0.0494264727510578,0.0850235817323416,0,0,0,0,-0.202557342356394,0,0,0.0385036508447993,0.0967003066698193,0.0937800057737351,0,0,0,0,-0.0723575329366288,0,0,0,0,0,0.143284090321122,0,-0.00386651286969589,0,0.0989225382713318,0,0.0124538102571087,0,0,0,0,0,0,0,0,0,0,0,0,-0.016310158697066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00458672138462685,0,0,0.113477387185403,-0.0812338011162143,0,0,0,0.260105456096272,0,-0.115231052175963,0,0
"",0,0,0,0,0,0,0,-0.0696210253691861,0,0,0,0.00525905768348237,0,0,0,0.181150550388205,0,0,0,0,0,0.215953632077194,0,0,0,-0.0797567479631088,0,0,-0.163680347633434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112886309496512,0,0,0,0,0,0,0.24187360352773,0,0,0,0,0,0,0,0,0.0233388438777722,0.0322291592945689,0,0,0,0,0,0,-0.118046418192056,0,-0.0283471675460855,0,0,0.0445554469017869,0.0527101917102971,0,0,0,0,0,0,-0.161618656024817,0,0.0817099250091276,0,-0.0378751280817333,0,0.024452074904688,-0.180383434724481,0,0,0.218502136275507,0,0,-0.0538876700967176,0,0,0,0,0.333290391874956,0.0729440201181587,0,0
"",0,0.180092016366481,0,0,0,-0.0259512768133477,0,0,0,0,0,0.100281834780782,-0.00257211612491273,-0.0130840471068929,0,0,0,0,0,0.0275220270264056,-0.0382083558556138,0,0,0,0,0,0,-0.260270098620669,-0.107035595793262,0,0,0,0,0,0,0,0,-0.0164757391733143,0,0.0773172443543239,0,0,-0.0509013627196815,0,0,0,0,0,0,-0.128255779935982,0,0,0,0,-0.127419058518836,0,0,0,0,0.0239707862788773,0.0523338236811829,0,0.0205794619621532,0,-0.0268296554613213,0,0,0,0,0,0,0,0,0.187958574405591,0,0,0,0.158851267514603,0,0,0,0,0,-0.0702616266672512,0,0,0,0,0,0,0,-0.0884033366046088,0,0,0,0,0,0,0,0,0
"",0,0,0,-0.157265343714017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153571761837505,0,-0.00609998048997875,0,0,-0.139221267154629,0,0,0,0.0892603179708815,0,0,-0.364189852832919,0,0,-0.0346479331211997,0,0,0.0672226241980122,0,0,0.0253729466353435,0,0,0,0,0,0,0,0.0113064895190066,0,-0.0478894306584985,-0.0468346856400141,0,0.0599854586942924,0,0,0,0.234455797270389,0,0,0,0,0,0,0,0,0,-0.205831750453975,0,0,0,0,0.0373396857869875,0,0,0,0.0535618694137499,-0.0921271474291568,0,0,-0.00977781529171522,0,0,0,0,0,0,0,0,0,0,0,0.0901644295372244,0,0,0,0,-0.0141080325232573,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.213499924391575,-0.0641063254636229,-0.18857220676288,0,0,-0.136585757121071,0,-0.151690280442102,0,0,0,0,0,0.0562008692176887,0,0.0391351525881391,-0.0871448716244331,0,0,0,0,0,-0.121617182053853,0,0,0.116421999090355,0,0,0,0,0,0,0,0,0,-0.07445540102749,0,0,0,-0.0437378217134749,0.0855510985917748,0,0,0,0,0,0,0,0,0,0,-0.0178227683945496,0,0,0,0,0,0,0,0,0,0,0.0263135475679926,0,0,-0.0968492929504728,0,0,0,0,0,0,0,-0.135041763924574,0,0,0.268258560634363,-0.134376180539462,0,0,0,0,0.0363870409786174,0.106861277606973,-0.0022877841747984,-0.039878758308737
"",-0.86314721074626,-0.77632242057215,-0.732930285519845,-0.604774594930877,-0.649576528613269,-0.307957896180833,-0.395074290450717,-0.845095487497665,-0.624100782382322,-0.759540914396777,-0.706571384393421,-0.466031740331619,-0.707986295359719,-0.651237875402598,-1.14171814894925,-0.638928462342098,-0.594287656964001,-0.492103123694702,-0.754616276754469,-0.603296362894812,-0.810730923383724,-0.381664869708846,-0.744555360910179,-0.355196656570157,-0.809007499565155,-0.929909044412182,-0.783622601408412,-0.562230591005499,-0.804161878367857,-0.428350522236473,-0.436168708893441,-0.438071376743867,-0.503786286931728,-0.558472525492796,-0.76678854056735,-0.740206662114545,-0.610873802868337,-0.568502816003612,-0.769784905395373,-0.822660583504106,-0.761522952656636,-0.483514280135519,-0.660569979013795,-0.505178154126555,-0.699812908564581,-0.329004623684139,-0.829120725146403,-0.787931964767881,-0.490165875202751,-0.438837009179828,-0.777030198474868,-0.493688566374449,-0.79179845217235,-0.875776795819836,-0.322771267638477,-1.07691528106568,-0.790169898533298,-0.8918007858509,-0.758443809675352,-0.50926760854627,-0.796679305725244,-0.674151343666708,-0.702483252077323,-0.712025778696941,-0.923114589453968,-0.389384905529969,-0.630978020154254,-0.712970858435058,-0.903119201071706,-0.539095417892142,-0.471979895477228,-0.646077077373903,-0.558286133633157,-0.559265742049011,-0.54923889900489,-0.341546548793926,-0.796812309677599,-0.470471968892354,-0.668106829879596,-0.552393390669764,-0.67416232214823,-0.712115133320345,-0.464915967469144,-0.596245369396083,-0.379988833492261,-0.596982204553549,-0.997297295777726,-0.544529053290707,-0.936559828357887,-0.907929330830116,-0.923449090130715,-0.726364917381524,-0.60940158202784,-0.354782682617066,-0.715754392758926,-0.522512831045299,-0.722206100429586,-0.872468074201989,-1.0146559942361,-0.450432515687474,-0.276586735946338
"",0,0,-0.239312639681072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266191782264393,0,0,0,-0.0608417340111577,0,0,-0.115004612685383,0,0,0,0,0,0.155340179929468,0,0,0,-0.00704990323563439,0,0,0,0,0,0,0,0,0,0,-0.051998234725543,-0.211348161574497,0,-0.0278847711647942,-0.0483517221594752,0,0,-0.0649682233352904,0,0,0.0729665815783707,0,0,0,0,0.00650574319281604,0,0,0,0.0478671133263862,0,0,0,0,0,0,0,0,0,0.0650264227680223,0,0,0.0479413769150118,0,-0.0561700937555427,0,0,0,0,-0.0980960954766886,0,0,0,0,0,0,0,0,0,0,0,0
