"","True Beta","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"",1.2,0.848657642803487,0.780717157462582,1.48491764148832,0.62993508738184,0.996524326182304,1.2109921363674,0.98265642201693,0.791643948314503,0.865307508694317,0.874217926535593,1.16198270918481,0.47949409165516,1.11219859390727,1.01262113794831,0.886409987117246,1.06753859652438,0.734614526432275,0.659169655558302,0.912876984081676,0.781851225556361,1.26894216976858,0.954389182798194,1.16183333397895,1.12575759418473,0.804718270640516,0.714778636196943,0.729785238802047,0.994891879737358,0.930731815933022,0.910181227878266,1.30899450115646,0.994151539862061,0.83224268382868,1.36612701974669,0.918112895202632,1.09241286665801,0.709110439747055,1.09558751149232,1.04073695147413,1.17249140576564,1.29427200767642,0.564452868395872,0.785028643082118,0.832007584777564,0.834482556505073,0.570758126567955,0.868769879471814,1.16584565429896,1.07256384762719,0.691238953049389,0.890438842840045,0.819319848878549,1.22282375358955,0.641987869098445,1.12058819823414,0.964817893874662,0.7515557264283,0.776751040339903,0.814039057887836,0.655153985529504,0.745755845970554,0.646281126384777,1.30784272482684,0.837031346100253,1.04930607936101,0.822472780731421,0.978710747755186,0.909409929289182,0.952977337419752,1.17728291997846,0.752933869007245,0.782026100921765,1.01705838619091,1.00960340723905,1.02985314808803,0.944987569009988,0.719678804288412,1.51556406039122,0.325787558413876,0.826719522674493,0.99899892414421,0.874935780377341,0.862837231726965,0.686211964420893,0.94447151242149,0.971515152432883,0.920731491539099,0.381945506050976,1.35805858068282,1.08580819030295,0.74886955961558,0.795590602214989,0.771332530921196,1.65568746911651,1.13295158273489,1.00435663025711,1.43085159025505,1.00150330387022,0.577997918935706,1.06847176272999
"",0,0,0,0,0.113164812578377,0,0,0.0824823013632574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134282097770996,0,0,0,0,0,0,0,0,0,0,0,0.111446560841207,0,0.00420681760799643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128709829303181,0,0,0,0,0,0.13502840970918,0,0,0,0.311930987722005,0.111481224871413,0,0.142446638153448,0,0,0,0.186898378108508,-0.00460846913671327,0,0,0,0,0,0,0,0.0977792636328622,0,0.173304858195048,0,0,0,0,0,0,0,0,0.185895448533363,0,0,0,0,0,0,0,0,0,0,0
"",0,0,0.264711085555585,0,0,0,0,-0.00204891640298112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135994901999841,0,0,0,0,0.380043666858112,0,0,0,0,0,0,0,0,0,0,0.167863158798545,0,-0.0532730245804624,0,0,0,0,0,0,0,0,0.33864734338622,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157999416055155,-0.256463305006881,0,0,0,0,0,0,0,0,0,0,0.010457375510623,-0.141862752578728,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14425189514335,0,0,0,0,0,0.00691649931093874,0,-0.122080699153329,0,0,0
"",0,0,0,0.150096595533181,0,0,0,0,0,0,0,0,0,0,0,0.0579248537995934,0,0,0,0,0,0.0710145219755303,0,0,0,0,0,0,0,0,0,0.16226823503968,0,0,0,0,0,0,0,0.280557966291814,0,0,0,0,0,0.0438200890049331,0,0.313929848142801,0,0,0,0,0,0,0,0,0,0.128024917830234,0,0,0,0,0,0,0,-0.11300549851244,0,0,0,0.0694873616656089,0,0,0,0.258835432579438,0,0,0.131447207333712,0,0,0.233653749427708,0,0,0,0,0,0.203988024073539,0,0,0,0,0.0162673881593952,0,0,0.118481591948801,0,0,0,0,0,0,0
"",0,0,0,0,0,0,0,-0.102152460691045,0,0,0,0.0209984991924932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0656898583041132,0,0,0,0,0,0,0,0,0,0,0.236696735246585,0,0,0,0,0,0,0,0.159135630181746,0,-0.0450224223253391,0,0,0,-0.301149644285349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646759321049505,0.0628522587192956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245742986664103,0,0,0,0,0,0,0,0,0.179420304326352,0,0.010964073831123,0,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395148098565147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130257776976545,0,0,0,0,0.161602093118057,0,-0.0261941547603644,0,0,0,0,0,0,0.154779502329877,0,-0.189816170355438,0,0.036950581372089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190996001573935,0
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103849363421495,0,0.0562546422569617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216108160660464,0,0.106531940598565,0,0,0,0,0,0,0,-0.0794351402180719,0,0.0118324875843082,0,0.251659744149539,0,0,0,0,0,0,0,0,0.11205665855179,0,0,0,0,0,0,0,0,0,0,0.23398024820685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.337198863064158,0.0536076688291616,0,0,0,0
"",0,0,0,0,0,0,0,-0.218505306996062,0,0,0,0.104237338615122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587054109932714,0,0,0,0,0,0,0,0,0.0722613071019412,0.19399549282662,0,-0.129738777105153,0,0,0.0151063563196946,0,0,0.0868540538561898,0,0,0.0205965281256896,0,0,0,0,0,0.0406791974174564,0,0,0,0,0.0971585573659612,0,0.0487062791059542,0,0,0.210989437279077,0,0,0,0,0,0,0,0,0,0.0268955710451721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",2.3,1.73809791250392,2.01760297263657,2.31739937902226,1.84219885851178,2.37679813438399,1.77126085890275,2.01226398101827,1.67296521453294,2.07883980294988,2.30564526393266,1.67140991902043,1.86204818645788,1.94741636578504,2.11799692003575,2.10246293094537,1.9343743746442,2.01138929602178,2.1180188400872,2.13314769792433,2.15799712262085,1.81222623820392,2.04624038996259,2.13723502815236,2.06053102891404,1.90525037229601,2.13892146534254,1.93104606342393,1.76977089586804,2.14948856351749,1.98095138629034,2.09119744306101,2.3463718887586,2.45256186160554,2.12184633305404,1.79490591715589,2.13682842449928,2.13286539997888,1.61250211789225,1.93848702290023,2.11455960169884,1.77243050275151,2.2401043701516,2.081193281966,1.65681741084675,2.13295015133791,2.18380358359641,2.2079297449304,1.80561094722324,2.13373954319315,1.8658810008037,2.02692271565365,2.19745413674351,1.8041196001232,2.23310579311213,2.07447319689468,2.0317825018866,2.55979197374043,1.73326634753564,1.63474571461071,1.90672949336088,2.61787272797203,2.0404190218558,1.9583050911212,1.77567072228287,2.16471858693993,2.27026363697929,2.00811549160073,1.77774849096314,2.08764695716261,2.32488879358776,1.99648249484413,2.04645072019527,1.84405042115356,2.46647787914784,2.05485383572597,2.16247373602017,2.24688031539306,1.5402359496732,2.21546733972429,2.26832400323164,2.07557965262883,2.47172598977096,1.93698116482784,2.42419855760612,1.81330662716924,2.06078466282818,2.10614189864229,2.0522050734411,1.86135056693183,2.02833851498633,1.93093536383425,2.01402509530887,1.5609065011181,1.79958744695605,2.50026476575806,2.07214985557721,2.14894227425951,1.87482792317029,2.28609108216365,2.09510602008635
"",0,0,0,0,0.126939969328838,0,0,0,0,0,0,0,0,0,0,0,0.0552150987241212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298811728445342,0,0,0,0,0,0,0,0,-0.267183655426086,0,0.117551483603944,0,0,0,0,0,-0.0036891546888238,0,0,0,0.0410895724124568,0,0,0,0,0,0,0,0.0235860351086319,0,0,0,-0.00702452322286203,0,0,0,0.0327522743504786,0,0.186678559645794,0,0,0,0,0,0,0,0.0522895099299934,0,0,0,0,0,0,0,0,0.0410938902700579,0,0,0,0,0.124785471303245,0.12640560449113,0,0,0,-0.080993919262991,0,0,0,0
